City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,santa cruz de la palma,28.6835,-17.7642,27.08,17,0,5.66,ES,1680213586
287,bethel,41.3712,-73.414,6.86,30,0,5.66,US,1680213488
288,raudeberg,61.9875,5.1352,2.37,73,95,2.58,NO,1680213586
289,prince rupert,54.3161,-130.3201,6.05,70,100,4.12,CA,1680213586
290,genhe,50.7833,121.5167,-6.23,96,9,0.84,CN,1680213586
291,nome,64.5011,-165.4064,1.2,90,100,0.82,US,1680213587
292,manhattan,40.7834,-73.9662,8.29,28,5,8.05,US,1680213485
293,shahpur chakar,26.155,68.6509,21.01,44,34,2.58,PK,1680213587
294,mayumba,-3.432,10.6554,25.77,85,96,2.78,GA,1680213587
295,college,64.8569,-147.8028,0.26,50,100,0.0,US,1680213587
296,kendari,-3.945,122.4989,23.66,92,100,1.66,ID,1680213587
297,kanniyakumari,8.0833,77.5667,26.42,84,7,5.0,IN,1680213588
298,ternate,0.8,127.4,26.57,80,66,2.15,ID,1680213588
299,kupang,-10.1667,123.5833,24.32,100,20,1.03,ID,1680213588
300,padang,-0.9492,100.3543,24.62,81,100,1.08,ID,1680213588
301,chumikan,54.7183,135.315,-6.8,94,88,2.59,RU,1680213588
302,ilulissat,69.2167,-51.1,-25.47,90,1,1.07,GL,1680213578
303,panjab,34.388,67.0233,0.93,97,100,1.71,AF,1680213588
304,paamiut,61.994,-49.6678,-8.19,78,9,5.78,GL,1680213589
305,san luis,-33.295,-66.3356,23.79,46,4,0.76,AR,1680213589
306,san anselmo,37.9747,-122.5616,15.9,65,100,2.68,US,1680213589
307,ibicarai,-14.865,-39.5875,22.1,88,0,1.77,BR,1680213589
308,komsomolskiy,40.4272,71.7189,17.51,51,100,1.85,UZ,1680213589
309,oktyabrskiy,54.4815,53.471,0.69,70,100,5.67,RU,1680213590
310,jalu,29.0331,21.5482,16.03,30,0,3.54,LY,1680213590
311,sakakah,29.9697,40.2064,14.76,46,0,7.74,SA,1680213590
312,vernon,50.2581,-119.2691,14.2,37,82,1.79,CA,1680213590
313,havelock,34.8791,-76.9013,16.0,62,75,5.66,US,1680213546
314,kibala,9.1104,18.3463,31.97,43,20,2.57,TD,1680213591
315,pangoa,-12.1167,-73.0,21.62,97,100,1.38,PE,1680213591
316,nioro,13.35,-15.75,26.48,44,1,4.25,GM,1680213591
317,samarai,-10.6167,150.6667,28.4,74,86,1.32,PG,1680213591
318,bukachacha,52.9833,116.9167,-3.77,94,45,1.11,RU,1680213591
319,kungurtug,50.5994,97.5228,-3.96,94,94,2.95,RU,1680213591
320,kiama,-34.6833,150.8667,18.1,62,0,4.02,AU,1680213591
321,lugovoy,42.9472,72.7644,11.48,79,94,2.45,KZ,1680213592
322,buraydah,26.326,43.975,22.25,32,16,4.94,SA,1680213592
323,nuuk,64.1835,-51.7216,-5.07,45,0,6.71,GL,1680213592
324,hambantota,6.1241,81.1185,24.19,100,20,1.54,LK,1680213592
325,pietarsaari,63.65,22.6833,-6.67,75,19,5.1,FI,1680213593
326,clinton,42.587,-82.9199,9.13,51,38,2.24,US,1680213431
327,westport,41.1415,-73.3579,7.72,27,27,4.02,US,1680213593
328,motygino,58.1831,94.7592,-19.77,100,81,0.81,RU,1680213593
329,bitung,1.4451,125.1824,24.47,82,79,1.97,ID,1680213593
330,san cristobal,7.7669,-72.225,25.1,59,51,1.66,VE,1680213382
331,bubaque,11.2833,-15.8333,25.31,73,3,7.65,GW,1680213593
332,vostok,46.4856,135.8833,-1.41,69,17,1.63,RU,1680213583
